produkt,datum_excel,zeitscheibe,durchschnittspreis_de_eur_mw_h,hoechster_zuschlag_de_eur_mw_h
mFRR,45701.0,POS_16_20,7.83,9.5
mFRR,45701.0,POS_20_24,0.41,0.49
mFRR,45701.0,NEG_00_04,1.93,2.12
mFRR,45701.0,NEG_04_08,1.06,1.45
mFRR,45701.0,NEG_08_12,0.37,0.56
mFRR,45701.0,NEG_12_16,0.37,0.55
mFRR,45701.0,NEG_16_20,0.27,0.42
mFRR,45701.0,NEG_20_24,0.22,0.39
mFRR,45702.0,POS_00_04,0.08,0.1
mFRR,45702.0,POS_04_08,2.5,2.76
mFRR,45702.0,POS_08_12,8.86,22.4
mFRR,45702.0,POS_12_16,0.93,1.01
mFRR,45702.0,POS_16_20,50.04,80.0
mFRR,45702.0,POS_20_24,1.68,4.4
mFRR,45702.0,NEG_00_04,1.28,1.6
mFRR,45702.0,NEG_04_08,0.86,1.03
mFRR,45702.0,NEG_08_12,0.37,0.5
mFRR,45702.0,NEG_12_16,0.35,0.5
mFRR,45702.0,NEG_16_20,0.28,0.4
